operation_date,driver_id,assigned_requests,completed_trips,driver_cancellations,driver_reliability_rate,avg_response_minutes,avg_trip_duration_minutes,total_final_fare_inr
2026-01-01,DRV-002232,1,1,0,1.0000000000000000,3.95,83.95,503.16
2026-01-01,DRV-001599,3,1,1,0.3333333333333333,2.9277777777777776,57.81666666666667,418.96
2026-01-01,DRV-001669,1,0,0,0E-16,4.433333333333334,,0.00
2026-01-01,DRV-002147,1,1,0,1.0000000000000000,4.55,39.36666666666667,424.12
2026-01-01,DRV-002117,2,1,0,0.5000000000000000,6.158333333333333,53.983333333333334,304.82
2026-01-01,DRV-000052,1,0,0,0E-16,1.0833333333333333,,0.00
2026-01-01,DRV-001432,2,2,0,1.0000000000000000,3.933333333333333,22.033333333333335,1244.78
2026-01-01,DRV-000372,2,1,0,0.5000000000000000,1.25,33.31666666666667,550.37
2026-01-01,DRV-000975,2,0,0,0E-16,5.233333333333333,,0.00
2026-01-01,DRV-002108,1,1,0,1.0000000000000000,5.933333333333334,34.3,69.80
2026-01-01,DRV-001618,1,1,0,1.0000000000000000,3.716666666666667,30.9,146.37
2026-01-01,DRV-002355,2,1,0,0.5000000000000000,0.5416666666666666,64.73333333333333,72.68
2026-01-01,DRV-002110,1,1,0,1.0000000000000000,4.133333333333334,61.6,251.25
2026-01-01,DRV-001105,2,2,0,1.0000000000000000,1.5833333333333333,73.85,375.10
2026-01-01,DRV-001508,2,2,0,1.0000000000000000,6.475,21.233333333333334,1519.09
2026-01-01,DRV-000965,2,1,1,0.5000000000000000,2.683333333333333,12.816666666666666,113.04
2026-01-01,DRV-002561,1,1,0,1.0000000000000000,1.25,12.683333333333334,416.35
2026-01-01,DRV-000848,1,1,0,1.0000000000000000,6.916666666666667,38.35,48.66
2026-01-01,DRV-000553,2,2,0,1.0000000000000000,3.15,30.266666666666666,938.98
2026-01-01,DRV-002312,2,1,1,0.5000000000000000,3.1083333333333334,56.6,502.68
2026-01-01,DRV-001951,2,2,0,1.0000000000000000,3.591666666666667,59.65,529.91
2026-01-01,DRV-001067,1,1,0,1.0000000000000000,6.033333333333333,25.716666666666665,423.10
2026-01-01,DRV-001830,1,1,0,1.0000000000000000,3.1,75.71666666666667,417.94
2026-01-01,DRV-001930,1,0,0,0E-16,3.783333333333333,,0.00
2026-01-01,DRV-002640,1,1,0,1.0000000000000000,2.0166666666666666,40.3,296.02
2026-01-01,DRV-002785,2,1,0,0.5000000000000000,5.283333333333333,12.116666666666667,305.34
2026-01-01,DRV-000349,2,1,1,0.5000000000000000,4.358333333333333,18.35,240.18
2026-01-01,DRV-000832,2,2,0,1.0000000000000000,5.85,48.65833333333333,810.09
2026-01-01,DRV-001193,3,3,0,1.0000000000000000,0.8666666666666667,64.89444444444445,780.70
2026-01-01,DRV-002505,1,0,1,0E-16,6.633333333333334,,0.00
2026-01-01,DRV-002507,1,1,0,1.0000000000000000,0.6833333333333333,34.15,396.75
2026-01-01,DRV-002658,2,1,0,0.5000000000000000,6.841666666666667,18.05,214.81
2026-01-01,DRV-002553,1,1,0,1.0000000000000000,2.316666666666667,36.81666666666667,499.01
2026-01-01,DRV-000041,2,2,0,1.0000000000000000,4.741666666666666,28.625,317.57
2026-01-01,DRV-001375,1,0,0,0E-16,4.766666666666667,,0.00
2026-01-01,DRV-002057,1,0,1,0E-16,3.1166666666666667,,0.00
2026-01-01,DRV-000143,1,1,0,1.0000000000000000,4.466666666666667,73.9,373.13
2026-01-01,DRV-000066,2,1,0,0.5000000000000000,2.2333333333333334,8.4,661.12
2026-01-01,DRV-001436,1,1,0,1.0000000000000000,5.083333333333333,8.083333333333334,208.93
