operation_date,pickup_zone_id,service_type,trip_requests,completed_trips,cancellation_rate,avg_response_minutes,surge_trip_share
2026-01-01,ZON-015,bike_taxi,6,5,0.1666666666666667,2.844444444444444,0.8333333333333333
2026-01-01,ZON-017,mini,8,6,0.1250000000000000,3.047619047619048,0.5000000000000000
2026-01-01,ZON-117,bike_taxi,6,4,0.1666666666666667,3.8066666666666666,0.6666666666666667
2026-01-01,ZON-113,mini,7,4,0.2857142857142857,3.7527777777777778,0.5714285714285714
2026-01-01,ZON-112,bike_taxi,5,4,0E-16,4.029166666666667,0.8000000000000000
2026-01-01,ZON-120,bike_taxi,6,6,0E-16,3.211111111111111,0.5000000000000000
2026-01-01,ZON-042,sedan,7,5,0.2857142857142857,3.95,0.2857142857142857
2026-01-01,ZON-011,bike_taxi,6,1,0.8333333333333333,3.155555555555556,0.3333333333333333
2026-01-01,ZON-114,mini,6,4,0.1666666666666667,4.16,0.6666666666666667
2026-01-01,ZON-050,auto,7,6,0.1428571428571429,4.15952380952381,0.8571428571428571
2026-01-01,ZON-041,bike_taxi,4,4,0E-16,3.654166666666667,0.7500000000000000
2026-01-01,ZON-080,mini,11,5,0.5454545454545455,3.0954545454545452,0.4545454545454545
2026-01-01,ZON-081,bike_taxi,4,4,0E-16,3.841666666666667,1.0000000000000000
2026-01-01,ZON-118,mini,8,6,0.2500000000000000,4.010416666666667,0.6250000000000000
2026-01-01,ZON-036,sedan,2,2,0E-16,3.325,1.0000000000000000
2026-01-01,ZON-082,auto,6,3,0.3333333333333333,3.99,0.6666666666666667
2026-01-01,ZON-043,bike_taxi,3,0,0.3333333333333333,6.833333333333333,0.3333333333333333
2026-01-02,ZON-067,mini,4,1,0.5000000000000000,4.444444444444445,0.7500000000000000
2026-01-02,ZON-028,auto,3,2,0.3333333333333333,3.561111111111111,0.3333333333333333
2026-01-02,ZON-011,auto,9,6,0.3333333333333333,3.312962962962963,0.4444444444444444
2026-01-02,ZON-048,mini,5,3,0.4000000000000000,4.006666666666667,0.6000000000000000
2026-01-02,ZON-024,auto,8,6,0.2500000000000000,3.36875,0.5000000000000000
2026-01-02,ZON-060,auto,8,5,0.2500000000000000,4.9642857142857135,0.5000000000000000
2026-01-02,ZON-047,mini,9,6,0.1111111111111111,3.7904761904761903,0.3333333333333333
2026-01-02,ZON-110,sedan,2,1,0.5000000000000000,1.6333333333333333,0E-16
2026-01-02,ZON-097,bike_taxi,4,3,0.2500000000000000,3.875,0.7500000000000000
2026-01-02,ZON-052,auto,8,5,0.3750000000000000,2.7291666666666665,1.0000000000000000
2026-01-02,ZON-106,sedan,4,3,0.2500000000000000,2.908333333333333,0.7500000000000000
2026-01-02,ZON-087,sedan,2,1,0.5000000000000000,1.6333333333333333,1.0000000000000000
2026-01-02,ZON-033,mini,6,4,0.1666666666666667,3.646666666666667,0.6666666666666667
2026-01-02,ZON-020,bike_taxi,5,3,0.4000000000000000,3.9566666666666666,0.4000000000000000
2026-01-03,ZON-009,auto,3,2,0E-16,4.141666666666667,0.6666666666666667
2026-01-03,ZON-059,mini,12,6,0.4166666666666667,3.5984848484848486,0.4166666666666667
2026-01-03,ZON-060,bike_taxi,6,3,0.3333333333333333,4.693333333333333,0.1666666666666667
