operation_date,pickup_zone_id,service_type,surge_band,trip_requests,surge_trip_count,surge_trip_share,completion_rate,cancellation_rate,avg_final_fare_inr
2026-01-01,ZON-102,mini,surge,3,3,1.0000000000000000,0.6666666666666667,0.3333333333333333,687.955000
2026-01-01,ZON-053,mini,surge,4,4,1.0000000000000000,0.7500000000000000,0E-16,720.980000
2026-01-01,ZON-109,mini,non_surge,5,0,0E-16,0.4000000000000000,0.4000000000000000,401.955000
2026-01-01,ZON-107,mini,surge,4,4,1.0000000000000000,0.7500000000000000,0.2500000000000000,370.310000
2026-01-01,ZON-029,auto,surge,3,3,1.0000000000000000,0.3333333333333333,0E-16,214.540000
2026-01-01,ZON-067,bike_taxi,non_surge,3,0,0E-16,1.0000000000000000,0E-16,119.526667
2026-01-01,ZON-117,mini,surge,2,2,1.0000000000000000,0.5000000000000000,0.5000000000000000,175.670000
2026-01-01,ZON-120,bike_taxi,non_surge,3,0,0E-16,1.0000000000000000,0E-16,220.593333
2026-01-01,ZON-090,bike_taxi,non_surge,4,0,0E-16,0.7500000000000000,0.2500000000000000,140.936667
2026-01-01,ZON-087,mini,surge,5,5,1.0000000000000000,0.6000000000000000,0.4000000000000000,446.650000
2026-01-01,ZON-119,auto,surge,6,6,1.0000000000000000,0.8333333333333333,0E-16,363.718000
2026-01-01,ZON-064,auto,surge,4,4,1.0000000000000000,0.7500000000000000,0E-16,659.006667
2026-01-01,ZON-026,mini,non_surge,6,0,0E-16,0.5000000000000000,0.3333333333333333,271.146667
2026-01-01,ZON-057,mini,surge,7,7,1.0000000000000000,0.7142857142857143,0.2857142857142857,389.416000
2026-01-01,ZON-079,bike_taxi,surge,1,1,1.0000000000000000,1.0000000000000000,0E-16,626.910000
2026-01-01,ZON-036,mini,non_surge,3,0,0E-16,0.3333333333333333,0.6666666666666667,510.190000
2026-01-01,ZON-090,mini,non_surge,2,0,0E-16,1.0000000000000000,0E-16,456.700000
2026-01-01,ZON-040,sedan,surge,5,5,1.0000000000000000,0.4000000000000000,0.4000000000000000,197.340000
2026-01-01,ZON-013,mini,non_surge,2,0,0E-16,0E-16,0E-16,
2026-01-01,ZON-041,auto,non_surge,3,0,0E-16,1.0000000000000000,0E-16,359.026667
2026-01-01,ZON-092,mini,surge,2,2,1.0000000000000000,1.0000000000000000,0E-16,474.065000
2026-01-01,ZON-082,mini,surge,6,6,1.0000000000000000,0.6666666666666667,0.3333333333333333,681.800000
2026-01-01,ZON-056,auto,non_surge,3,0,0E-16,0.3333333333333333,0.6666666666666667,278.410000
2026-01-01,ZON-051,auto,non_surge,2,0,0E-16,0.5000000000000000,0.5000000000000000,53.160000
2026-01-01,ZON-080,sedan,surge,2,2,1.0000000000000000,1.0000000000000000,0E-16,415.565000
2026-01-01,ZON-040,auto,surge,4,4,1.0000000000000000,1.0000000000000000,0E-16,503.365000
2026-01-01,ZON-102,sedan,non_surge,2,0,0E-16,0.5000000000000000,0E-16,265.860000
2026-01-01,ZON-023,auto,non_surge,5,0,0E-16,0.8000000000000000,0.2000000000000000,341.975000
2026-01-01,ZON-119,bike_taxi,surge,5,5,1.0000000000000000,0.6000000000000000,0.2000000000000000,224.156667
2026-01-01,ZON-063,mini,non_surge,3,0,0E-16,0.6666666666666667,0E-16,108.300000
2026-01-01,ZON-001,auto,non_surge,4,0,0E-16,0.5000000000000000,0.5000000000000000,289.030000
2026-01-01,ZON-082,mini,non_surge,3,0,0E-16,0.6666666666666667,0E-16,520.625000
2026-01-01,ZON-089,sedan,surge,3,3,1.0000000000000000,0.6666666666666667,0E-16,1495.330000
2026-01-01,ZON-049,bike_taxi,surge,2,2,1.0000000000000000,1.0000000000000000,0E-16,429.710000
2026-01-01,ZON-103,bike_taxi,non_surge,1,0,0E-16,1.0000000000000000,0E-16,141.460000
2026-01-01,ZON-029,sedan,surge,6,6,1.0000000000000000,0.5000000000000000,0.1666666666666667,1040.160000
2026-01-01,ZON-035,sedan,non_surge,2,0,0E-16,0.5000000000000000,0E-16,1027.410000
2026-01-01,ZON-043,auto,non_surge,2,0,0E-16,0E-16,0E-16,
2026-01-01,ZON-055,sedan,surge,3,3,1.0000000000000000,0.6666666666666667,0.3333333333333333,746.585000
